family,symbol,role,register,address,value,#,confidence,basis
CH32M030,RCC_RTCSEL,mask,RCC->BDCTLR,,768,#,reference,evt(device-header)
CH32M030,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_SW_HSE,value,RCC->CFGR0,0x40021004,1,#,reference,evt(device-header+system_ch32*.c)
CH32M030,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32V003,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,3,#,conflict,evt(device-header+system_ch32*.c)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
CH32V003,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32V003,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,63488,#,reference,evt(device-header)
CH32V003,RCC_AFIOEN,value,RCC->APB2PCENR,0x40021018,1,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32V003,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header)
CH32V003,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_HPRE_DIV3,value,RCC->CFGR0,0x40021004,32,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_HSITRIM,mask,RCC->CTLR,0x40021000,248,#,reference,evt(device-header)
CH32V003,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLSRC,mask,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLSRC_HSE_Mul2,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_PLLSRC_HSI_Mul2,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_SW_HSE,value,RCC->CFGR0,0x40021004,1,#,reference,evt(device-header+system_ch32*.c)
CH32V003,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32V006,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,3,#,conflict,evt(device-header)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
CH32V006,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32V006,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32V006,FLASH_ACTLR_LATENCY_2,value,FLASH->ACTLR,0x40022000,2,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,63488,#,reference,evt(device-header)
CH32V006,RCC_AFIOEN,mask,RCC->PB2PCENR,0x40021018,1,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_AFIOEN,value,RCC->PB2PCENR,0x40021018,1,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_CFGR0_MCO,mask,RCC->CFGR0,0x40021004,117440512,#,reference,evt(device-header)
CH32V006,RCC_HPRE,mask,RCC->CFGR0,0x40021004,240,#,reference,evt(device-header)
CH32V006,RCC_HPRE_DIV1,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_HPRE_DIV3,value,RCC->CFGR0,0x40021004,32,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_HSEON,mask,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_HSEON,value,RCC->CTLR,0x40021000,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_HSE_SI,mask,RCC->CTLR,0x40021000,12582912,#,reference,evt(device-header)
CH32V006,RCC_PLLON,value,RCC->CTLR,0x40021000,16777216,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_PLLRDY,poll,RCC->CTLR,0x40021000,33554432,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_PLLSRC,mask,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_PLLSRC_HSE_Mul2,value,RCC->CFGR0,0x40021004,65536,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_PLLSRC_HSI_Mul2,value,RCC->CFGR0,0x40021004,0,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_SW,mask,RCC->CFGR0,0x40021004,3,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_SWS,poll,RCC->CFGR0,0x40021004,12,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_SW_HSE,value,RCC->CFGR0,0x40021004,1,#,reference,evt(device-header+system_ch32*.c)
CH32V006,RCC_SW_PLL,value,RCC->CFGR0,0x40021004,2,#,reference,evt(device-header+system_ch32*.c)
CH32V103,EXTEN_PLL_HSI_PRE,value,EXTEN->EXTEN_CTR,0x40023800,16,#,reference,evt(device-header+system_ch32*.c)
CH32V103,FLASH_ACTLR_LATENCY,mask,FLASH->ACTLR,0x40022000,3,#,conflict,evt(device-header+system_ch32*.c)+!evt(device-header-comment:FLASH_ACTLR_LATENCY[2:0])
CH32V103,FLASH_ACTLR_LATENCY_0,value,FLASH->ACTLR,0x40022000,0,#,reference,evt(device-header+system_ch32*.c)
CH32V103,FLASH_ACTLR_LATENCY_1,value,FLASH->ACTLR,0x40022000,1,#,reference,evt(device-header+system_ch32*.c)
CH32V103,FLASH_ACTLR_LATENCY_2,value,FLASH->ACTLR,0x40022000,2,#,reference,evt(device-header+system_ch32*.c)
CH32V103,FLASH_ACTLR_PRFTBE,value,FLASH->ACTLR,0x40022000,16,#,reference,evt(device-header+system_ch32*.c)
CH32V103,RCC_ADCPRE,mask,RCC->CFGR0,0x40021004,49152,#,reference,evt(device-header)
