family,peripheral,bus,register,offset,address,bit,mask,macro,#,confidence,basis
CH32V407,I3C,HB,HBPCENR,0x14,0x40021014,5,0x20,RCC_HBPeriph_I3C,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,CRC,HB,HBPCENR,0x14,0x40021014,6,0x40,RCC_HBPeriph_CRC,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,ARGB,HB,HBPCENR,0x14,0x40021014,7,0x80,RCC_HBPeriph_ARGB,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,FSMC,HB,HBPCENR,0x14,0x40021014,8,0x100,RCC_HBPeriph_FSMC,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,RNG,HB,HBPCENR,0x14,0x40021014,9,0x200,RCC_HBPeriph_RNG,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,SDIO,HB,HBPCENR,0x14,0x40021014,10,0x400,RCC_HBPeriph_SDIO,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USBHS2,HB,HBPCENR,0x14,0x40021014,11,0x800,RCC_HBPeriph_USBHS2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USBHS1,HB,HBPCENR,0x14,0x40021014,12,0x1000,RCC_HBPeriph_USBHS1,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,DVP,HB,HBPCENR,0x14,0x40021014,13,0x2000,RCC_HBPeriph_DVP,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,ETH_MAC,HB,HBPCENR,0x14,0x40021014,14,0x4000,RCC_HBPeriph_ETH_MAC,#,reference,evt(ch32v4x7_rcc.h+ch32v4x7.h)
CH32V407,TIM2,PB1,PB1PCENR,0x1c,0x4002101c,0,0x1,RCC_PB1Periph_TIM2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM3,PB1,PB1PCENR,0x1c,0x4002101c,1,0x2,RCC_PB1Periph_TIM3,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM4,PB1,PB1PCENR,0x1c,0x4002101c,2,0x4,RCC_PB1Periph_TIM4,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM5,PB1,PB1PCENR,0x1c,0x4002101c,3,0x8,RCC_PB1Periph_TIM5,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM6,PB1,PB1PCENR,0x1c,0x4002101c,4,0x10,RCC_PB1Periph_TIM6,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,TIM7,PB1,PB1PCENR,0x1c,0x4002101c,5,0x20,RCC_PB1Periph_TIM7,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART6,PB1,PB1PCENR,0x1c,0x4002101c,6,0x40,RCC_PB1Periph_USART6,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART7,PB1,PB1PCENR,0x1c,0x4002101c,7,0x80,RCC_PB1Periph_USART7,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART8,PB1,PB1PCENR,0x1c,0x4002101c,8,0x100,RCC_PB1Periph_USART8,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART9,PB1,PB1PCENR,0x1c,0x4002101c,9,0x200,RCC_PB1Periph_USART9,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART10,PB1,PB1PCENR,0x1c,0x4002101c,10,0x400,RCC_PB1Periph_USART10,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,WWDG,PB1,PB1PCENR,0x1c,0x4002101c,11,0x800,RCC_PB1Periph_WWDG,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,SPI2,PB1,PB1PCENR,0x1c,0x4002101c,14,0x4000,RCC_PB1Periph_SPI2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,SPI3,PB1,PB1PCENR,0x1c,0x4002101c,15,0x8000,RCC_PB1Periph_SPI3,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
CH32V407,USART2,PB1,PB1PCENR,0x1c,0x4002101c,17,0x20000,RCC_PB1Periph_USART2,#,confirmed,evt(ch32v4x7_rcc.h+ch32v4x7.h)+rm(CH32V407RM.PDF)
