family,register,type,member,field,define,kind,of_field,bits,mask,value,description,rm_access,rm_reset,#,confidence,basis
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W2,WWDG_CFGR_W2,field,,2,0x4,,Bit 2,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W3,WWDG_CFGR_W3,field,,3,0x8,,Bit 3,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W4,WWDG_CFGR_W4,field,,4,0x10,,Bit 4,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W5,WWDG_CFGR_W5,field,,5,0x20,,Bit 5,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W6,WWDG_CFGR_W6,field,,6,0x40,,Bit 6,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,W,WWDG_CFGR_W,field,,6:0,0x7f,,W[6:0] bits (7-bit window value),RW,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,WDGTB0,WWDG_CFGR_WDGTB0,field,,7,0x80,,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,WDGTB1,WWDG_CFGR_WDGTB1,field,,8,0x100,,Bit 1,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,WDGTB,WWDG_CFGR_WDGTB,field,,8:7,0x180,,WDGTB[1:0] bits (Timer Base),RW,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_CFGR,WWDG,WWDG.CFGR,EWI,WWDG_CFGR_EWI,field,,9,0x200,,Early Wakeup Interrupt,RW1,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T0,WWDG_CTLR_T0,field,,0,0x1,,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T1,WWDG_CTLR_T1,field,,1,0x2,,Bit 1,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T2,WWDG_CTLR_T2,field,,2,0x4,,Bit 2,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T3,WWDG_CTLR_T3,field,,3,0x8,,Bit 3,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T4,WWDG_CTLR_T4,field,,4,0x10,,Bit 4,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T5,WWDG_CTLR_T5,field,,5,0x20,,Bit 5,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T6,WWDG_CTLR_T6,field,,6,0x40,,Bit 6,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,T,WWDG_CTLR_T,field,,6:0,0x7f,,T[6:0] bits (7-Bit counter (MSB to LSB)),RW,,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_CTLR,WWDG,WWDG.CTLR,WDGA,WWDG_CTLR_WDGA,field,,7,0x80,,Activation bit,RW1,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EWIF,WWDG_STATR_EWIF,field,,0,0x1,,Early Wakeup Interrupt Flag,RW0,0,#,confirmed,evt(ch32l103.h)+rm(CH32L103RM.PDF)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_PLL_HSI_PRE,EXTEN_PLL_HSI_PRE,field,,4,0x10,,Bit 4,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_LOCKUP_EN,EXTEN_LOCKUP_EN,field,,6,0x40,,Bit 5,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_LOCKUP_RSTF,EXTEN_LOCKUP_RSTF,field,,7,0x80,,Bit 7,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_ULLDO_TRIM0,EXTEN_ULLDO_TRIM0,field,,8,0x100,,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_ULLDO_TRIM1,EXTEN_ULLDO_TRIM1,field,,9,0x200,,Bit 1,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_ULLDO_TRIM2,EXTEN_ULLDO_TRIM2,field,,10,0x400,,Bit 2,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_ULLDO_TRIM,EXTEN_ULLDO_TRIM,field,,10:8,0x700,,ULLDO_TRIM[2:0] bits,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_LDO_TRIM0,EXTEN_LDO_TRIM0,field,,12,0x1000,,Bit 0,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_LDO_TRIM1,EXTEN_LDO_TRIM1,field,,13,0x2000,,Bit 1,,,#,reference,evt(ch32l103.h)
CH32L103,WWDG_STATR,WWDG,WWDG.STATR,EXTEN_LDO_TRIM,EXTEN_LDO_TRIM,field,,13:12,0x3000,,LDO_TRIM[1:0] bits,,,#,reference,evt(ch32l103.h)
CH32M030,ADC_AVG_DR,ADC,ADC.AVGDR,AVG_DG,ADC_AVG_DG,field,,11:0,0xfff,,,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_AVG_TR,ADC,ADC.AVGTR,AVG_LTR,ADC_AVG_LTR,field,,11:0,0xfff,,,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_AVG_TR,ADC,ADC.AVGTR,AVG_HTR,ADC_AVG_HTR,field,,27:16,0xfff0000,,,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_0,ADC_AWDCH_0,value,AWDCH,0,0x1,1,Bit 0,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_1,ADC_AWDCH_1,value,AWDCH,1,0x2,2,Bit 1,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_2,ADC_AWDCH_2,value,AWDCH,2,0x4,4,Bit 2,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_3,ADC_AWDCH_3,value,AWDCH,3,0x8,8,Bit 3,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH_4,ADC_AWDCH_4,value,AWDCH,4,0x10,16,Bit 4,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDCH,ADC_AWDCH,field,,4:0,0x1f,,AWDCH[4:0] bits (Analog watchdog channel select bits),RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,EOCIE,ADC_EOCIE,field,,5,0x20,,Interrupt enable for EOC,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDIE,ADC_AWDIE,field,,6,0x40,,Analog Watchdog interrupt enable,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,JEOCIE,ADC_JEOCIE,field,,7,0x80,,Interrupt enable for injected channels,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,SCAN,ADC_SCAN,field,,8,0x100,,Scan mode,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,AWDSGL,ADC_AWDSGL,field,,9,0x200,,Enable the watchdog on a single channel in scan mode,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,JAUTO,ADC_JAUTO,field,,10,0x400,,Automatic injected group conversion,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,DISCEN,ADC_DISCEN,field,,11,0x800,,Discontinuous mode on regular channels,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,JDISCEN,ADC_JDISCEN,field,,12,0x1000,,Discontinuous mode on injected channels,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_0,ADC_DISCNUM_0,value,DISCNUM,13,0x2000,1,Bit 0,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_1,ADC_DISCNUM_1,value,DISCNUM,14,0x4000,2,Bit 1,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM_2,ADC_DISCNUM_2,value,DISCNUM,15,0x8000,4,Bit 2,,,#,reference,evt(ch32m030.h)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,DISCNUM,ADC_DISCNUM,field,,15:13,0xe000,,DISCNUM[2:0] bits (Discontinuous mode channel count),RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
CH32M030,ADC_CTLR1,ADC,ADC.CTLR1,JAWDEN,ADC_JAWDEN,field,,22,0x400000,,Analog watchdog enable on injected channels,RW,0,#,confirmed,evt(ch32m030.h)+rm(CH32M030RM.PDF)
