series,selector,value,signal,pad,#,confidence,basis
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT34,PC12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT35,PD0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT36,PD1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT37,PD2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT38,PD3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT39,PD4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT4,PB1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT40,PD5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT41,PD6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT42,PD7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT43,PF3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT44,PF4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT45,PF5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT46,PE0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT47,PE1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT5,PE10,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT6,PE11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT7,PE12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-can-rm,0,CAN1_RX,PA11,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-can-rm,0,CAN1_TX,PA12,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-can-rm,2,CAN1_RX,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-can-rm,2,CAN1_TX,PB9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-can-rm,3,CAN1_RX,OSC_IN,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-can-rm,3,CAN1_TX,OSC_OUT,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,0,I2C1_SCL,PB6,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-i2c1-rm,0,I2C1_SDA,PB7,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-i2c1-rm,0,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-i2c1-rm,2,I2C1_SCL,PA13,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,2,I2C1_SDA,PA12,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,2,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,3,I2C1_SCL,PB9,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,3,I2C1_SDA,PB11,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-i2c1-rm,3,I2C1_SMBA,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-lptim-rm,0,LPTIM_CH1,PB12,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-lptim-rm,0,LPTIM_CH2,PB13,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-lptim-rm,0,LPTIM_ETR,PB14,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-lptim-rm,0,LPTIM_OUT,PB15,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-lptim-rm,1,LPTIM_CH1,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-lptim-rm,1,LPTIM_CH2,PB7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-lptim-rm,1,LPTIM_ETR,PB6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-lptim-rm,1,LPT_OUT,PB2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,0,SPI1_MISO,PA6,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-spi1-rm,0,SPI1_MOSI,PA7,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-spi1-rm,0,SPI1_NSS,PA4,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-spi1-rm,0,SPI1_SCK,PA5,#,reference,candidates(datasheet-pin-table-default:en)
CH32L103,afio-spi1-rm,1,SPI1_MISO,PB4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,1,SPI1_MOSI,PB5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,1,SPI1_NSS,PA15,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,1,SPI1_SCK,PB3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32L103,afio-spi1-rm,2,SPI1_MISO,PB8,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
