tag,parent,series,family,precision,features,features_zh,sections,#,confidence,basis
WDG,,CH32V002,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V002DS0.PDF)
WDG,,CH32V003,CH32V003,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V003DS0.PDF)
WDG,,CH32V004,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V004DS0.PDF)
WDG,,CH32V005,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V006DS0.PDF)
WDG,,CH32V006,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V006DS0.PDF)
WDG,,CH32V007,CH32V006,datasheet,Timer and Watchdog,定时器及看门狗,1.4.12,#,confirmed,features(CH32V007DS0.PDF)
WDG,,CH32V203,CH32V20x,datasheet,Timer and Watchdog,定时器及看门狗,1.4.15;2.5.14,#,confirmed,features(CH32V203DS0.PDF)+features(CH32V205DS0.PDF)
WDG,,CH32V205,CH32V205,datasheet,Timer and Watchdog,定时器及看门狗,1.4.15,#,confirmed,features(CH32V205DS0.PDF)
WDG,,CH32V208,CH32V20x,datasheet,Timer and watchdog,定时器及看门狗,2.5.14,#,confirmed,features(CH32V208DS0.PDF)
WDG,,CH32V303,CH32V307,datasheet,Timer and Watchdog,定时器及看门狗,2.5.15,#,confirmed,features(CH32V20x_30xDS0.PDF)
WDG,,CH32V305,CH32V307,datasheet,Timer and Watchdog,定时器及看门狗,2.5.15,#,confirmed,features(CH32V20x_30xDS0.PDF)
WDG,,CH32V307,CH32V307,datasheet,Timer and Watchdog,定时器及看门狗,2.5.15,#,confirmed,features(CH32V20x_30xDS0.PDF)
WDG,,CH32V317,CH32V307,datasheet,Timer and Watchdog,定时器及看门狗,2.5.15,#,confirmed,features(CH32V20x_30xDS0.PDF)
WDG,,CH32V407,CH32V407,datasheet,Timer and Watchdog,定时器及看门狗,1.4.15,#,confirmed,features(CH32V407DS0.PDF)
WDG,,CH32V467,CH32V407,datasheet,Timer and Watchdog,定时器及看门狗,1.4.15,#,confirmed,features(CH32V407DS0.PDF)
WDG,,CH32X033,CH32X035,datasheet,Timer and Watchdog,定时器及看门狗,1.4.13,#,confirmed,features(CH32X035DS0.PDF)
WDG,,CH32X035,CH32X035,datasheet,Timer and Watchdog,定时器及看门狗,1.4.13,#,confirmed,features(CH32X035DS0.PDF)
WDG,,CH32X305,CH32X315,datasheet,Timer and Watchdog,定时器及看门狗,1.4.13,#,confirmed,features(CH32X315DS0.PDF)
WDG,,CH32X315,CH32X315,datasheet,Timer and Watchdog,定时器及看门狗,1.4.13,#,confirmed,features(CH32X315DS0.PDF)
WWDG,WDG,CH32V103,CH32V103,datasheet,Window Watchdog (WWDG),窗口看门狗(WWDG),1.5.14.4,#,confirmed,features(CH32V103DS0.PDF)
