series,selector,value,signal,pad,peripheral,role,#,confidence,basis
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT37,PD2,UHSIF,PORT37,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT38,PD3,UHSIF,PORT38,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT39,PD4,UHSIF,PORT39,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT4,PB1,UHSIF,PORT4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT40,PD5,UHSIF,PORT40,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT41,PD6,UHSIF,PORT41,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT42,PD7,UHSIF,PORT42,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT43,PF3,UHSIF,PORT43,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT44,PF4,UHSIF,PORT44,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT45,PF5,UHSIF,PORT45,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT46,PE0,UHSIF,PORT46,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT47,PE1,UHSIF,PORT47,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT5,PE10,UHSIF,PORT5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT6,PE11,UHSIF,PORT6,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,2,UHSIF_PORT7,PE12,UHSIF,PORT7,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT0,PC1,UHSIF,PORT0,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT1,PC2,UHSIF,PORT1,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT2,PC3,UHSIF,PORT2,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT3,PB0,UHSIF,PORT3,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT32,PC10,UHSIF,PORT32,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT33,PC11,UHSIF,PORT33,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT34,PC12,UHSIF,PORT34,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT35,PD0,UHSIF,PORT35,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT36,PD1,UHSIF,PORT36,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT37,PD2,UHSIF,PORT37,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT38,PD3,UHSIF,PORT38,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT39,PD4,UHSIF,PORT39,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT4,PB1,UHSIF,PORT4,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT40,PD5,UHSIF,PORT40,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT41,PD6,UHSIF,PORT41,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT42,PD7,UHSIF,PORT42,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT43,PF3,UHSIF,PORT43,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT44,PF4,UHSIF,PORT44,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT45,PF5,UHSIF,PORT45,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT46,PE0,UHSIF,PORT46,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT47,PE1,UHSIF,PORT47,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
CH32H417,afio-uhsif-port-remap,3,UHSIF_PORT5,PE10,UHSIF,PORT5,#,reference,candidates(datasheet-pin-table+rm-remap-grid:en)
