body_size,datasheet,family_dir,flash_bytes,gpio_count,package,package_ordering,packing,part_number,pin_count,pin_pitch,sram_bytes,temperature,body_size_confidence,flash_bytes_confidence,gpio_count_confidence,package_confidence,package_ordering_confidence,packing_confidence,pin_count_confidence,pin_pitch_confidence,sram_bytes_confidence,temperature_confidence
14*14mm,CH32V205DS0.PDF,CH32V20x,262144,80,LQFP100,LQFP100,,CH32V205VCT6,100,0.5mm,32768,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
,CH32V208DS0.PDF,CH32V20x,128K(2),35,QFN48,,,CH32V208CB,48,,64K(2),,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V208DS0.PDF,CH32V20x,128K(2),21,QFN28,,,CH32V208GB,28,,64K(2),-40..85C,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,confirmed
,CH32V208DS0.PDF,CH32V20x,128K(2),49,LQFP64M,,,CH32V208RB,64,,64K(2),,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V208DS0.PDF,CH32V20x,128K(2),53,QFN68,,,CH32V208WB,68,,64K(2),,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,37,LQFP48,,,CH32V303CB,48,,32768,-40..85C,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,confirmed
,CH32V20x_30xDS0.PDF,CH32V307,491520,51,LQFP64M,,,CH32V303RB,64,,32768,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,51,,,,CH32V303RC,64,,65536,,,confirmed,confirmed,missing,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,80,LQFP100,,,CH32V303VC,100,,65536,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,41,LQFP48,,,CH32V305CC,48,,65536,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,229376,17,TSSOP20,,,CH32V305FB,20,,32768,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,229376,24,QFN28,,,CH32V305GB,28,,32768,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,51,LQFP64M,,,CH32V305RB,64,,32768,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,51,LQFP64M,,,CH32V307RC,64,,65536,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,80,LQFP100,,,CH32V307VC,100,,65536,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,54,QFN68,,,CH32V307WC,68,,65536,,,confirmed,confirmed,confirmed,,,confirmed,,confirmed,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,70,LQFP100,,,CH32V317VC,100,,65536,,,zh-only,zh-only,confirmed,,,zh-only,,zh-only,missing
,CH32V20x_30xDS0.PDF,CH32V307,491520,48,QFN68,,,CH32V317WC,68,,65536,-40..85C,,zh-only,zh-only,confirmed,,,zh-only,,zh-only,confirmed
7*7mm,CH32V407DS0.PDF,CH32V407,524288,49,LQFP64,LQFP64,,CH32V407RET6,64,0.4mm,204800,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
14*14mm,CH32V407DS0.PDF,CH32V407,524288,77,LQFP100,LQFP100,,CH32V407VET6,100,0.5mm,204800,-40..85C,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,confirmed
8*8mm,CH32V407DS0.PDF,CH32V407,524288,55,QFN68,QFN68,,CH32V407WEU6,68,0.4mm,204800,,confirmed,confirmed,confirmed,confirmed,confirmed,,confirmed,confirmed,confirmed,missing
