series,selector,register,bits,value,peripheral,role,signal,pad,port,gpio,#,confidence,basis
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT1,UHSIF_PORT1,PF13,F,13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT10,UHSIF_PORT10,PE15,E,15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT11,UHSIF_PORT11,PB10,B,10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT12,UHSIF_PORT12,PB11,B,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT13,UHSIF_PORT13,PB12,B,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT14,UHSIF_PORT14,PB13,B,13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT15,UHSIF_PORT15,PB14,B,14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT16,UHSIF_PORT16,PD10,D,10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT17,UHSIF_PORT17,PD11,D,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT18,UHSIF_PORT18,PD12,D,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT19,UHSIF_PORT19,PD13,D,13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT2,UHSIF_PORT2,PE7,E,7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT20,UHSIF_PORT20,PD14,D,14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT21,UHSIF_PORT21,PD15,D,15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT22,UHSIF_PORT22,PF0,F,0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT23,UHSIF_PORT23,PF1,F,1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT24,UHSIF_PORT24,PF2,F,2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT25,UHSIF_PORT25,PC6,C,6,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT26,UHSIF_PORT26,PC7,C,7,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT27,UHSIF_PORT27,PC8,C,8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT28,UHSIF_PORT28,PC9,C,9,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT29,UHSIF_PORT29,PA13,A,13,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT3,UHSIF_PORT3,PE8,E,8,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT30,UHSIF_PORT30,PA14,A,14,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT31,UHSIF_PORT31,PA15,A,15,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT32,UHSIF_PORT32,PC10,C,10,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT33,UHSIF_PORT33,PC11,C,11,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT34,UHSIF_PORT34,PC12,C,12,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT35,UHSIF_PORT35,PD0,D,0,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT36,UHSIF_PORT36,PD1,D,1,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT37,UHSIF_PORT37,PD2,D,2,#,reference,candidates(datasheet-pin-table-default:en)
CH32H417,afio-uhsif-port-remap,PCFR1,PCFR1:8;PCFR1:9,0,UHSIF,PORT38,UHSIF_PORT38,PD3,D,3,#,reference,candidates(datasheet-pin-table-default:en)
