family,variant,dma,channel,request_id,peripheral,request,remap,spelled,note,#,confidence,basis
CH32L103,,DMA1,2,,SPI1,SPI1_RX,,SPI1_RX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,2,,TIM1,TIM1_CH1,,TIM1_CH1,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,TIM2,TIM2_UP,,TIM2_UP,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,TIM3,TIM3_CH3,,TIM3_CH3,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,2,,USART3,USART3_TX,,USART3_TX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,SPI1,SPI1_TX,,SPI1_TX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,3,,TIM1,TIM1_CH2,,TIM1_CH2,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,TIM3,TIM3_CH4,,TIM3_CH4,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,TIM3,TIM3_UP,,TIM3_UP,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,3,,USART3,USART3_RX,,USART3_RX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,I2C2,I2C2_TX,,I2C2_TX,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,SPI2,SPI2_RX,,SPI2_RX,,#,confirmed,rm:zh(CH32L103RM.PDF p.102)+rm:en(CH32L103RM.PDF p.120)
CH32L103,,DMA1,4,,TIM1,TIM1_CH4,,TIM1_CH4,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,TIM1,TIM1_COM,,TIM1_COM,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
CH32L103,,DMA1,4,,TIM1,TIM1_TRIG,,TIM1_TRIG,,#,confirmed,rm:zh(CH32L103RM.PDF p.103)+rm:en(CH32L103RM.PDF p.121)
